profile,training_seed,phase,cdc_share_percent,aggregate_ci95_low_percent,aggregate_ci95_high_percent
BURST,9,NORMAL,21.75,28.42,34.30999999999999
BURST,10,NORMAL,34.7,28.42,34.30999999999999
BURST,1,DENSE,9.05,14.684750000000005,26.884999999999998
BURST,2,DENSE,24.799999999999997,14.684750000000005,26.884999999999998
BURST,3,DENSE,6.800000000000001,14.684750000000005,26.884999999999998
BURST,4,DENSE,32.85,14.684750000000005,26.884999999999998
BURST,5,DENSE,33.25,14.684750000000005,26.884999999999998
BURST,6,DENSE,28.000000000000004,14.684750000000005,26.884999999999998
BURST,7,DENSE,22.150000000000002,14.684750000000005,26.884999999999998
BURST,8,DENSE,22.45,14.684750000000005,26.884999999999998
BURST,9,DENSE,4.6499999999999995,14.684750000000005,26.884999999999998
BURST,10,DENSE,26.349999999999994,14.684750000000005,26.884999999999998
BURST,1,BURST,6.699999999999999,13.509875,23.845124999999996
BURST,2,BURST,21.349999999999994,13.509875,23.845124999999996
BURST,3,BURST,11.95,13.509875,23.845124999999996
BURST,4,BURST,30.099999999999998,13.509875,23.845124999999996
BURST,5,BURST,28.4,13.509875,23.845124999999996
BURST,6,BURST,25.1,13.509875,23.845124999999996
BURST,7,BURST,20.199999999999996,13.509875,23.845124999999996
BURST,8,BURST,20.8,13.509875,23.845124999999996
BURST,9,BURST,3.4499999999999997,13.509875,23.845124999999996
BURST,10,BURST,20.599999999999998,13.509875,23.845124999999996
BURST,1,RECOVERY,7.199999999999999,9.85,20.875249999999994
BURST,2,RECOVERY,18.299999999999997,9.85,20.875249999999994
BURST,3,RECOVERY,2.05,9.85,20.875249999999994
BURST,4,RECOVERY,21.449999999999996,9.85,20.875249999999994
BURST,5,RECOVERY,32.4,9.85,20.875249999999994
BURST,6,RECOVERY,21.9,9.85,20.875249999999994
BURST,7,RECOVERY,14.000000000000002,9.85,20.875249999999994
BURST,8,RECOVERY,16.749999999999996,9.85,20.875249999999994
BURST,9,RECOVERY,2.55,9.85,20.875249999999994
BURST,10,RECOVERY,16.05,9.85,20.875249999999994
TIME_GREEDY_RULE,,NORMAL,35.00000000000001,,
TIME_GREEDY_RULE,,DENSE,34.85000000000001,,
TIME_GREEDY_RULE,,BURST,33.15,,
TIME_GREEDY_RULE,,RECOVERY,29.549999999999997,,
