profile,seed,source_history,ppo_update,loss_block_start_update,loss_block_end_update,ppo_objective_loss_block_median,ppo_actor_loss_block_median,ppo_value_loss_block_median,ppo_entropy_block_median,ppo_approximate_kl_block_median,ppo_clip_fraction_block_median,evaluation_episode_count,evaluation_task_count,raw_environment_mean_return,return_change_from_update_50,task_success_rate_percent,illegal_action_count,resource_leak_count
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1950,1901,1950,0.04135464991850313,-0.010331420169677585,0.10809125786181539,0.3084396460617427,0.005681032094798866,0.05240885424427688,100,2000,18.255017435803115,0.32736747445953185,97.2,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,2000,1951,2000,0.045652323024114594,-0.008205103338696063,0.1063815476372838,0.31456785168913104,0.008257913421402918,0.054847301449626684,100,2000,18.168078478792307,0.2404285174487235,97.35000000000001,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,50,1,50,0.12807257180975284,-0.0047679686394985765,0.2680107264313847,0.2641851458756719,0.011095952783762186,0.03688742918893695,100,2000,17.947271305782387,0.0,96.45,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,100,51,100,0.09211464484542375,-0.004266459494829178,0.1908424411667511,0.39161909825088514,0.008177243699719838,0.04869791690725833,100,2000,17.92673617760173,-0.020535128180657836,96.45,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,150,101,150,0.08612092562543694,-0.00034967448505085486,0.1875719411764294,0.46851066406816244,0.007958311124866668,0.040494791814126074,100,2000,18.514763667099206,0.5674923613168197,97.85000000000001,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,200,151,200,0.08528149595440482,-0.004424910417583305,0.18786323931999505,0.45790655177552253,0.007026441756352142,0.05029296886641532,100,2000,18.01164290061035,0.06437159482796417,98.6,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,250,201,250,0.07869594399744528,-0.002020913641899824,0.16938733001006767,0.3975740849855356,0.0061403974823406315,0.04145951720420271,100,2000,17.962424473614604,0.015153167832217207,98.75,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,300,251,300,0.07001794785173843,-0.009224023524438962,0.16362605418544263,0.3954710621619597,0.006396768869308289,0.04369377379771322,100,2000,18.548307211185303,0.6010359054029166,98.1,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,350,301,350,0.06451130435743835,-0.006085074903239729,0.1517289065523073,0.38401935290312394,0.008588425203924999,0.04414062504656613,100,2000,18.5825766831027,0.6353053773203143,97.75,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,400,351,400,0.045080959593178704,-0.006490245461463928,0.1149255762284156,0.3752990475622937,0.008080532476014923,0.04134114587213844,100,2000,18.623620817877214,0.6763495120948271,97.45,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,450,401,450,0.043633912227960536,-0.008148061111569405,0.11134381435113028,0.3684082387480885,0.007171566197939683,0.0485026043606922,100,2000,18.648124694627395,0.7008533888450081,97.8,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,500,451,500,0.04606783272174653,-0.0034444950142642483,0.11054409114876762,0.3810825865948573,0.006965880367715727,0.042089843773283064,100,2000,18.719908584091808,0.7726372783094213,97.8,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,550,501,550,0.04810792013449827,-0.004978740675142035,0.1176784030685667,0.4254757449962199,0.004539764685276282,0.04230291221756488,100,2000,18.708453418624423,0.761182112842036,97.7,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,600,551,600,0.06786961563193472,0.0016003359050955623,0.14695750636747107,0.43893744607339613,0.004116731150134001,0.03312322462443262,100,2000,18.355420775271888,0.40814946948950137,97.05,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,650,601,650,0.05637669041243498,-0.0009276631753891706,0.1228735389886424,0.4358119557145983,0.004246314821557462,0.03726029838435352,100,2000,18.56431133787434,0.6170400320919533,98.35000000000001,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,700,651,700,0.0473819529361208,-0.007996978441951796,0.11239584471331909,0.45817971232463606,0.0039934992282724124,0.030056423624046147,100,2000,18.68781284776329,0.7405415419809032,97.7,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,750,701,750,0.047564868204062805,-0.00800673018602538,0.10537470981944352,0.3850924013531767,0.00530195824603652,0.03306995751336217,100,2000,18.615510809992696,0.6682395042103089,97.65,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,800,751,800,0.042021950299385935,-0.004070765598953585,0.09752002247842029,0.40255341411102563,0.0049493127826281125,0.04478870751336217,100,2000,18.4890998350653,0.5418285292829133,97.55,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,850,801,850,0.04036881899810396,-0.0051282685599289834,0.10305985866580158,0.3435907089151442,0.00514636297521065,0.033463541767559946,100,2000,18.59944191847549,0.6521706126931051,98.2,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,900,851,900,0.0339953349030111,-0.006641772604780272,0.09533567985636182,0.371614838950336,0.003187019014148973,0.0399502842919901,100,2000,18.594413757885444,0.6471424521030578,97.89999999999999,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,950,901,950,0.046547170451958664,-0.004332023439928889,0.09816283744294196,0.4007759973173961,0.004430500717717223,0.03986150585114956,100,2000,18.55969848040885,0.6124271746264647,98.6,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1000,951,1000,0.04649098089794279,-0.006045315152732655,0.11008949918323196,0.39754784712567925,0.00601075789791139,0.04069010424427688,100,2000,18.32624490007236,0.3789735942899739,97.85000000000001,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1050,1001,1050,0.04544468820677139,-0.005389510275563225,0.10451667939196341,0.3926779784960672,0.0042138726839766605,0.03941761387977749,100,2000,18.55787833011176,0.6106070243293722,97.35000000000001,0,0
