stage,scenario,method,metric,value,source_path
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,recovery_time_s,32.98328986651163,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,success_rate,0.964375,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,reward,-872.5824781477511,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,successful_throughput_tasks_per_hour,67.76549988237966,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,mean_waiting_time,307.8136762735695,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,p95_waiting_time,1199.8075792376483,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,mean_flow_time,365.56256099706576,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,p95_flow_time,1232.3199316425637,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,distance_per_task,46.199107778797,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,SINGLE_DOG_ONLY,recovery_time_s,37.44351507871938,results/stage21_external_validity/fault_robustness_locked_summary.json
