stage,source_path,artifact,gate,status,passed,claim_boundary,profile,execution_mode,updates,episodes_trained_total
14,results/stage20_mixed_curriculum/long/seed_08/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_08/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_09/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_09/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_09/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_10/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_10/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_10/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/short_gate/seed_01/run_plan.json,run_plan.json,MIXED_CURRICULUM_SHORT_GATE,NOT_REPORTED,,"Interface, schedule diversity, safety, and persistence only.",MIXED_CURRICULUM,CONCURRENT,3,
14,results/stage20_mixed_curriculum/short_gate/seed_01/stage20_ppo.summary.json,stage20_ppo.summary.json,SHORT_SMDP_PPO_REWARD_V2_SMOKE,PASS,True,Interface smoke only; not a convergence claim.,MIXED_CURRICULUM,CONCURRENT,3,3
14,results/stage20_mixed_curriculum/short_gate/seed_01/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/short_gate/seed_02/run_plan.json,run_plan.json,MIXED_CURRICULUM_SHORT_GATE,NOT_REPORTED,,"Interface, schedule diversity, safety, and persistence only.",MIXED_CURRICULUM,CONCURRENT,2,
14,results/stage20_mixed_curriculum/short_gate/seed_02/stage20_ppo.summary.json,stage20_ppo.summary.json,SHORT_SMDP_PPO_REWARD_V2_SMOKE,PASS,True,Interface smoke only; not a convergence claim.,MIXED_CURRICULUM,CONCURRENT,2,2
14,results/stage20_mixed_curriculum/short_gate/seed_02/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/short_gate/seed_03/run_plan.json,run_plan.json,MIXED_CURRICULUM_SHORT_GATE,NOT_REPORTED,,"Interface, schedule diversity, safety, and persistence only.",MIXED_CURRICULUM,CONCURRENT,2,
14,results/stage20_mixed_curriculum/short_gate/seed_03/stage20_ppo.summary.json,stage20_ppo.summary.json,SHORT_SMDP_PPO_REWARD_V2_SMOKE,PASS,True,Interface smoke only; not a convergence claim.,MIXED_CURRICULUM,CONCURRENT,2,2
14,results/stage20_mixed_curriculum/short_gate/seed_03/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/short_gate/stage20_short_gate.summary.json,stage20_short_gate.summary.json,MIXED_CURRICULUM_THREE_SEED_SHORT_GATE,PASS,True,"Interface, persistence, schedule diversity, safety, and PPO update smoke only; this is not convergence or superiority evidence.",,,,
20,results/stage20_mixed_curriculum/stage20_locked_test_summary.json,stage20_locked_test_summary.json,,PASS,True,Held-out descriptive and crossed-bootstrap comparison. All ten pre-registered Stage 20 training seeds are retained regardless of their training gate label.,,,,
21,results/stage21_external_validity/fault_robustness_locked_summary.json,fault_robustness_locked_summary.json,FAULT_ROBUSTNESS_ALL_WEIGHT_LOCKED_V1,PASS,True,"Logical SMDP fault injection only. Navigation failure is a task-keyed route-segment abstraction; stair and robot outages are observable external availability windows. This protocol does not establish ROS, planner, dynamics, or hardware fault robustness.",,,,
21,results/stage21_external_validity/fault_robustness_smoke.json,fault_robustness_smoke.json,FAULT_ROBUSTNESS_SMOKE,PASS,True,"Logical SMDP fault-injection evidence only. Navigation failure is a task-keyed route-segment abstraction, not a ROS planner or physical robot failure.",,,,
