update,mean,std,count,smooth,smooth_sd
153,-379.97032224823903,137.81194525367042,10,-395.5952530419752,154.17729982796698
154,-444.8211659084254,179.1156737209244,10,-395.8594836422837,154.5077943662226
155,-430.9580184473887,140.6439964681304,10,-397.4056024241332,155.10109599087735
156,-354.889125530559,102.17410899047162,10,-396.02426022565646,154.10087365857376
157,-368.2770360801331,149.23730728986206,10,-396.8543570298583,154.77432758554158
158,-430.5722112783207,119.31255764968519,10,-396.8347980763896,154.42019185227193
159,-317.3825699546712,70.54924643658957,10,-394.7803152194312,153.29355303036374
160,-386.78279654204545,194.5916006131825,10,-394.0633147572507,153.17240939569658
161,-309.00319785432066,95.99362000280146,10,-391.83093191982357,151.52743520695742
162,-391.29248775917347,139.58465531090758,10,-392.20560126383987,151.47639423875154
163,-426.74175866682634,162.0638149486063,10,-390.72836519641254,150.97901341585575
164,-387.4812822908393,125.4442714370141,10,-391.382977759674,150.7764399907885
165,-405.5276176886408,218.3605315143623,10,-388.81134337244947,149.04480679145698
166,-441.38132442683553,161.5131981379353,10,-390.31654739951597,147.9673569867415
167,-371.0389583752502,182.3347531103051,10,-388.6328291392762,148.1741307171507
168,-366.27458985536083,154.09337790744155,10,-387.2691599869055,148.61644289433315
169,-416.2982281249034,102.9035619273693,10,-387.2418241240681,148.75449562606767
170,-385.0292304776075,106.7387235368272,10,-386.52666821121136,148.16827681803616
171,-452.02185976908623,202.88569436268946,10,-388.3438113539378,149.99405951380393
172,-332.24426955699886,115.96521120145216,10,-387.65343689648296,149.72682864006538
173,-324.82356898765977,166.36329924438525,10,-385.83550589129896,150.90566995546286
174,-399.78520040825936,148.7471153679593,10,-385.9000756165605,150.04387138491398
175,-351.4526328103396,129.37323535742348,10,-384.46220774123157,150.09217399147875
176,-403.07483286145634,173.95298514343133,10,-384.6970797973362,151.436327066262
177,-426.7382301141576,177.57766922233148,10,-386.11463866845463,152.0792610516334
178,-465.56392532812623,192.5495448161611,10,-387.56509044272804,152.750442600883
179,-388.6196872090077,194.20880060787988,10,-388.244212046635,154.0659880473503
180,-420.88822410912337,101.46342889600835,10,-387.5126482311867,151.90537303987628
181,-393.9066399223257,212.70389483812158,10,-388.77202009437156,153.90715064129034
182,-370.0184789185088,224.74547826358963,10,-387.96097071087314,153.30972774296202
183,-376.29855791008595,181.41734423997298,10,-389.4601665261549,153.7350926718376
184,-394.6926868547906,225.36882395688446,10,-388.70198639557196,154.14523378414506
185,-381.7018282753942,110.5522439570005,10,-389.8024262656399,153.54378551224647
186,-315.4356468070923,132.06833961916675,10,-388.08362222945755,152.7927371087986
187,-417.8343832042416,125.62636064245433,10,-387.8180343065472,152.01892884970425
188,-308.66292682455486,95.78409324495462,10,-387.1138605008252,150.71652794177695
189,-403.8721452737657,124.64378544105105,10,-387.51486116700215,150.10988227732526
190,-376.843897389951,133.79502461442917,10,-387.6777031332838,150.26394465883533
191,-320.6617338158204,108.07136233932593,10,-386.31750946238094,149.72223757970468
