stage,source_path,profile,condition,seed,endpoint,loss,actor_loss,value_loss,entropy,update,episodes_trained,rollout_steps,rollout_mean_reward,approximate_kl,clip_fraction,gradient_norm,rollout_completed,rollout_failed,rollout_peak_active_tasks,raw_episode_reward_mean,raw_reward_mean,normalized_reward_mean,normalized_reward_std,return_normalizer_variance
20,results/stage20_mixed_curriculum/short_gate/seed_03/stage20_ppo.history.json,MIXED_CURRICULUM,seed_03,3,last,0.17471953615313396,0.0007209909963421524,0.35361192002892494,0.28074152633780614,2,2,229,-142.4015735555078,0.004727016261313111,0.05019531259313226,1.427000092342496,77,3,3,-142.4015735555078,-0.6218408942222595,-0.019852520897984505,0.08358019590377808,981.1318101020019
20,results/stage20_mixed_curriculum/short_gate/seed_03/warm_start.history.json,MIXED_CURRICULUM,seed_03,3,first,2.5531405448913573,2.5531405448913573,1.596555488705635,2.7471841526031495,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/short_gate/seed_03/warm_start.history.json,MIXED_CURRICULUM,seed_03,3,last,0.4539214038848877,0.4539214038848877,1.4541498693823813,0.6685200262069703,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_01/stage22_ppo.history.json,,seed_01,1,first,0.03421940103450244,-0.003324172740545252,0.07844079262576997,0.1676821883784064,1,4,903,-313.8187594829568,0.07979683870256975,0.08447506163140824,1.1235517849824552,315,5,4,-313.8187594829568,-1.3901164531707764,-0.015842625871300697,0.04516750946640968,7699.242086530737
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_01/stage22_ppo.history.json,,seed_01,1,last,0.008468184150466374,0.0011139974511902907,0.027932632325120783,0.6612128690527431,2000,8000,913,-673.7672285258614,0.0014736876533976916,0.09143635903581462,0.9792038367996956,309,11,4,-673.7672285258614,-2.9518826007843018,-0.018626293167471886,0.04728975519537926,25115.70177692487
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_01/warm_start.history.json,,seed_01,1,first,0.8821421110630036,0.8821421110630036,1.4233181393146515,1.3375184082984923,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_01/warm_start.history.json,,seed_01,1,last,0.3186734437942505,0.3186734437942505,1.50959896966815,0.38685279548168183,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_02/stage22_ppo.history.json,,seed_02,2,first,0.032234658049580096,-0.0005806863853900597,0.06824584918674724,0.13075793707883443,1,4,906,-201.69667250094798,0.0925612767323338,0.0814116380723386,1.2541641427268242,313,7,4,-201.69667250094798,-0.8904930353164673,-0.013558715581893921,0.04821337014436722,4313.441078904855
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_02/stage22_ppo.history.json,,seed_02,2,last,-0.0031452634741134687,-0.009357233852918806,0.027237863898084594,0.7406961830525562,2000,8000,909,-633.6476109089177,0.00968581487842161,0.10096153854553042,0.7186079424131533,303,17,4,-633.6476109089177,-2.788328170776367,-0.017499905079603195,0.04442199692130089,25387.295464533945
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_02/warm_start.history.json,,seed_02,2,first,1.0344624495506287,1.0344624495506287,0.7504085124656558,1.5489862442016602,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_02/warm_start.history.json,,seed_02,2,last,0.08661415535956621,0.08661415535956621,0.685808723848313,0.17851702578365802,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_03/stage22_ppo.history.json,,seed_03,3,first,0.03555233544064886,0.005395974048638138,0.06207056007556746,0.08789189333113208,1,4,915,-489.97718619417117,0.09446919959222654,0.06458427859791394,1.50507303552124,308,12,4,-489.97718619417117,-2.141976833343506,-0.011529767885804176,0.034933846443891525,34513.4494285171
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_03/stage22_ppo.history.json,,seed_03,3,last,0.005874160958197096,-0.0015433460538243425,0.027454351066964967,0.6309668799412662,2000,8000,918,-458.8876114532142,0.025473959001327127,0.0845905173698376,0.7991253588477085,305,15,4,-458.8876114532142,-1.9995102882385254,-0.01188037171959877,0.038929764181375504,28326.134961600103
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_03/warm_start.history.json,,seed_03,3,first,1.0071190047264098,1.0071190047264098,1.1147716367617249,1.5521242570877076,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_03/warm_start.history.json,,seed_03,3,last,0.2503722523897886,0.2503722523897886,1.0682061867043375,0.15908081956207754,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_04/stage22_ppo.history.json,,seed_04,4,first,0.041380271869551004,0.0036247030045066415,0.07788001326844096,0.11844375316085744,1,4,911,-328.6616685983406,0.07353412134348061,0.06752873571782277,1.2427026726433943,311,9,3,-328.6616685983406,-1.4430809020996094,-0.012070958502590656,0.04462604969739914,14292.157330802644
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_04/stage22_ppo.history.json,,seed_04,4,last,0.0022116912737617203,-0.007671720613243765,0.031005735681713397,0.5619455673571291,2000,8000,923,-560.5234535050189,0.007217552605213533,0.11849457218215384,0.9831792290868431,302,18,4,-560.5234535050189,-2.4291372299194336,-0.015971295535564423,0.04079198092222214,23132.565763471015
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_04/warm_start.history.json,,seed_04,4,first,0.8802094078063964,0.8802094078063964,1.5027879577875138,1.2860401904582976,,,,,,,,,,,,,,,
22,results/stage22_algorithm_ablation/long/fixed_gamma/seed_04/warm_start.history.json,,seed_04,4,last,0.2533819196000695,0.2533819196000695,1.4223182103037835,0.15481023654341697,,,,,,,,,,,,,,,
